author,text,hashtags,likes,retweets,replies,views,created_at,url
Madrid Zone,CHILL GUY . ,,2925,139,23,55977,2025-06-04T13:20:08.000Z,https://x.com/theMadridZone/status/1930253237921427944
Chill Cone,#Altseason  start - all in on  #CHILLGUY,"#Altseason,#CHILLGUY",44,12,2,831,2025-06-04T10:37:45.000Z,https://x.com/GuruTrader9000/status/1930212372502728784
Madrid Xtra,Dean Huijsen -  CHILL GUY . ,,2959,104,26,61421,2025-06-04T13:20:47.000Z,https://x.com/MadridXtra/status/1930253397682467047
mrpatrickschmitt,"What’s going on with  #Chillguy   ? 

Was very certain it will run back but now I see people calling for $0.03

What’s your thoughts Chillguys?",#Chillguy,229,2,7,1814,2025-06-04T11:14:57.000Z,https://x.com/mr_pschmitt/status/1930221733912478200
chill guy | fan page,"when everything is not alright, but you're just a  chill guy .",,846,166,38,37873,2024-12-06T04:30:02.000Z,https://x.com/chillguyx/status/1864890015869710427
yunjin,she thinks she's that  chill guy  meme ,,0,0,0,0,2025-06-04T14:25:00.000Z,https://x.com/ynjncentric/status/1930269560101315006
CUPRA KIRO,Just a  chill guy  ya know.  #ShanghaiEPrix #FormulaE,"#ShanghaiEPrix,#FormulaE",0,0,0,0,2025-05-31T07:03:04.000Z,https://x.com/KiroRaceCo/status/1928708790569832557
krish,Chill guy  is basically a cartoonised version of Kevin James,,6556,717,34,209686,2024-11-20T08:14:12.000Z,https://x.com/0xkrishb/status/1859148225791619346
Mike Sapiton,Estonia just doing Chiki Briki soda by a  Chill guy  company. Love it.,,0,0,0,0,2025-06-04T13:56:24.000Z,https://x.com/sapitonmix/status/1930262363988431249
JTMX,When the meme isn’t loved but I’m lowkey just a  chill guy,,7960,112,25,120154,2024-11-27T21:28:17.000Z,https://x.com/JTMX080626/status/1861884775063240975
Coinbase Guy,Just a  Chill Guy  casually having the same Trading Volume as his Market Cap ,,0,0,0,0,2025-06-04T05:45:23.000Z,https://x.com/CoinbaseGuy/status/1930138795405414584
KNIGHT,#chillguy,#chillguy,96,20,3,6585,2025-06-02T13:14:17.000Z,https://x.com/cryptoknight890/status/1929526988957434320
Bard,"1.$ CHILLGUY “ Chill guy ,” aka “My new character,” is a digital artwork and meme created by Phillip Banks, first posted on Twitter on October 4, 2023.",,0,0,0,0,2025-06-04T14:53:51.000Z,https://x.com/0xCryptoBard/status/1930276821523947739
chill guy | fan page,just a  chill guy  who just cant hear very well,,279,43,4,14934,2024-12-18T10:14:02.000Z,https://x.com/chillguyx/status/1869325239307362428
///Steki,"CHILL GUY  ISNT JUST A FUNNY NONCHALANT CHARACTER CHILL GUY  REPRESENTS A MOVEMENT, A MINDSET SHIFT TO INSPIRE YOU AND SHED LIGHT ON A PERSPECTIVE THAT MANY TIMES CAN BE MISCONSTRUED.

AS  CHILL GUYS , MANY TIMES WE BRUSH THINGS OFF, OPPORTUNITIES, DREAMS, HAPPINESS.

BUT THE FIGHT",,338,96,93,21231,2024-11-19T20:12:49.000Z,https://x.com/stekisteks/status/1858966682531733966
"Wizard Of SoHo (,)",Just a  chill guy  waiting to get to chillions,,394,37,46,33908,2024-11-22T01:27:18.000Z,https://x.com/wizardofsoho/status/1859770601025700105
chill guy | fan page,just two  chill  bros who understand each other.,,220,38,15,14024,2024-12-21T20:16:03.000Z,https://x.com/chillguyx/status/1870563908181709023
fity.eth,Chill Guy  is everywhere  0x60215db40b04fe029c42c56ff2e02221c1f288ef,,183,40,38,13215,2024-12-12T01:51:24.000Z,https://x.com/Fityeth/status/1867024422911217961
just a chill guy | fan page,"no matter what,  chill guy  will always be there for you when you need him.",,547,105,59,19505,2025-01-19T15:05:35.000Z,https://x.com/chillguycto/status/1880995021845139612
helenpixels,Just a  chill guy  chilling  #pixelart,#pixelart,0,0,0,0,2025-06-04T14:51:46.000Z,https://x.com/helenpixels/status/1930276296631755043
·,chilling listening to music being a cute  chill guy #chillguythings,#chillguythings,0,0,0,0,2025-04-27T19:12:23.000Z,https://x.com/juyomifan/status/1916571145689616632
Tennis Channel,He’s just a  chill guy @janniksin #RolandGarros,#RolandGarros,962,124,42,41066,2025-05-26T17:10:22.000Z,https://x.com/TennisChannel/status/1927049687082631422
just a chill guy | fan page,just a  chill guy  who yearns for the mines.,,287,36,15,5554,2025-04-09T10:41:00.000Z,https://x.com/chillguycto/status/1909919470342090767
just a chill guy | fan page,it turns out that the  guy  is still  chill .,,387,67,27,13133,2025-02-27T00:18:13.000Z,https://x.com/chillguycto/status/1894904838061695433
just a chill guy | fan page,did santa's chillest helper get you the gift you wanted?,,542,85,42,19681,2024-12-25T22:35:02.000Z,https://x.com/chillguycto/status/1872048433072087492
Chill Guy,"Life was good when Rohit, Dhoni amd Kohli used to be captain...",,0,0,0,0,2025-06-04T13:33:29.000Z,https://x.com/Bro_JustChill/status/1930256595419590764
just a chill guy | fan page,"hot air still rises, chill guys  are still  chill .",,302,39,18,7960,2025-04-07T22:02:25.000Z,https://x.com/chillguycto/status/1909366175026266333
Ajide Victor | Webflow Developer,Just a  chill guy,,84,3,10,1379,2025-05-30T12:27:39.000Z,https://x.com/Victor_Webflow/status/1928428089039573351
chill guy | fan page,just a  chillguy  getting ready for his morning routine.,,1040,96,15,31450,2025-03-24T00:57:00.000Z,https://x.com/chillguyx/status/1903974293324898585
Rypto,Chill Guy : The Quiet Strength Meme  #CHILLGUY @chillguycto,#CHILLGUY,234,51,32,39743,2024-11-24T17:27:38.000Z,https://x.com/Rypto__/status/1860737049826906499
///Steki,"MOMMA WE MADE IT!  @FOXBUSINESS #CHILLGUY , THE ULTIMATE NORMIE RETAIL PVE COIN

SHOUT OUT CHADETTE  @charleneswoods",#CHILLGUY,462,157,72,40639,2024-12-03T07:36:52.000Z,https://x.com/stekisteks/status/1863849872493056051
NPC,"When you support the current thing because you're just a  chill guy .

Introducing our  #chillguy @chillguycto  honorary trait.

Now live on the custom  $NPC  generator.",#chillguy,485,80,39,14295,2025-02-06T19:32:43.000Z,https://x.com/NonPlayableCoin/status/1887585230652895478
just a chill guy | fan page,just a  chill guy  who can never have enough coins.,,582,93,53,16571,2025-01-16T10:02:34.000Z,https://x.com/chillguycto/status/1879831602903371973
just a chill guy | fan page,football players and fans love  chill guy .,,420,62,11,14195,2025-05-03T23:18:02.000Z,https://x.com/chillguycto/status/1918807289751916691
WIZZ ( beware scammers ),"#chillguy  next days

Gn friends",#chillguy,612,105,164,69302,2025-06-01T22:03:07.000Z,https://x.com/CryptoWizardd/status/1929297685506367987
just a chill guy | fan page,just a  chill guy  reflecting on a lovely christmas day.,,508,75,40,16424,2024-12-26T04:51:01.000Z,https://x.com/chillguycto/status/1872143055509164243
"Wizard Of SoHo (,)",lol  Chill guy  is a multi billion dollar coin larping as a 200mm coin… fr fr,,506,71,74,69414,2024-11-20T12:02:54.000Z,https://x.com/wizardofsoho/status/1859205777535222262
just a chill guy | fan page,"chilling 

not a phone in sight nor a worry in the mind.",,1084,175,70,42202,2024-12-14T20:45:32.000Z,https://x.com/chillguycto/status/1868034611344998529
just a chill guy | fan page,"they chase the charts i just  chill  and recline, i'm just a  chill guy SERIOUS THOUGHT.

This Chill Guy meme is being used by everyday people (I'm seeing many people NOT IN CRYPTO using this meme on Instagram)..

More than I have EVER seen them use Pepe (if they ever even did)..

Pepe was a more niche 4 chan/ Reddit nerd thing..

Hmm, interesting",,393,87,24,22594,2024-12-03T17:56:57.000Z,https://x.com/chillguycto/status/1864005918402490726
just a chill guy | fan page,just a  chill guy  who needs his morning coffee.,,249,43,27,8793,2025-02-20T13:04:04.000Z,https://x.com/chillguycto/status/1892560853435609504
