author,text,hashtags,likes,retweets,replies,views,created_at,url
blu,나니가 스키 ? 돌넨!,,0,0,0,0,2025-05-31T01:30:15.000Z,https://x.com/theseoknen/status/1928625037734469865
공주 ❥𓂃𓏧,송찬의 착한 이유...  나니가 스키  진짜 찍기 싫었다면서 미리 말해줬으면 반팔로 입고 왔을 텐데 이러네 ㅋㅋㅋ 안 찍는 게 아니고 그냥 겨 보호라도 해달라는 게 ㅈㅉ 웃기다,,0,0,0,0,2025-06-04T02:55:04.000Z,https://x.com/gongjoo_V4/status/1930095931309076713
·,"아유무쨩~ 나니가 스키 ?               나,  니 가 스키 .",,0,0,0,0,2025-06-02T15:01:26.000Z,https://x.com/_wildslug_/status/1929553952917402077
씨덕,씨엔블루  나니가 스키,,0,0,0,0,2025-06-01T12:24:49.000Z,https://x.com/ssideok/status/1929152151718445249
믈 ムール,나토리쨩 ~ 하잇 ~ !  나니가 스키 ?,,0,0,0,0,2025-05-29T16:58:19.000Z,https://x.com/yakitoriumai_/status/1928133817652629892
따롱픽시講齊,"나는
시간이 많은 시간부자였을 뿐이고
아치 가  독을 먼저 뿌렸을 뿐이고

향아치 -  나니가 스키 (발라드 ver.)",,0,0,0,0,2025-06-01T12:00:27.000Z,https://x.com/PPixiy_v8/status/1929146019557892421
소냐,카프카군~ 나니가 스키 ?                     나  니 가 스키,,0,0,0,0,2025-06-04T12:58:00.000Z,https://x.com/Sonya0703/status/1930247664064692245
아일,"이 사진은.... 나니가 스키 ? 시작 전인데...ㅋㅋ
무대인사 나온 배우 같은 느낌? #재준 #JAEJUN #인어미닛 #InAMinute","#재준,#JAEJUN,#인어미닛,#InAMinute",0,0,0,0,2025-06-04T03:15:50.000Z,https://x.com/I_I_LL_/status/1930101158120698219
xx,ㅋㅋㅋㅋㅋㅋㅋ아현이  나니가 스키  좋아하는 거 너무 투명한 아가여서 귀여븜,,0,0,0,0,2025-06-04T14:04:03.000Z,https://x.com/dkgus0411/status/1930264285990568148
냥,"250526 애플뮤직 천러 영통팬싸 나니가 스키  챌린지 멤버 조합 궁금해서 물어봤는데 천러한테 무료 강의 들은썰푼다 ㅠㅠ
저 진짜 강의 듣는 학생 처럼 10마디도 못하고 대답만 하다 가  왔어요 ...
ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ #천러 #辰乐 #chenle","#천러,#辰乐,#chenle",0,0,0,0,2025-05-27T07:23:53.000Z,https://x.com/ch__lele_/status/1927264479395356927
찬,"아닠ㅋㅋ ㅋㅋㅋ ㅋㅋ ㅋㅋ 나니가스키 때문에
생각이 많아진다는 게 왤케 웃기지ㅋㅋㅋㅋㅋㅋ
떵차나 이런걸로 깊생을 하니ㅜㅜㅜ 개귀여워 합격♡",,0,0,0,0,2025-05-31T14:44:11.000Z,https://x.com/ooouoi_/status/1928824837041963518
345,"나니가 스키  발라드버전까지 마스터한
우리 멋쟁이 감자 이서호 군대는 가더라도 이서호 음색은 어디 안가지",,0,0,0,0,2025-06-04T10:20:51.000Z,https://x.com/486_245/status/1930208116798566483
샌쨩,성쇼  나니가 스키,,0,0,0,0,2025-05-31T01:18:29.000Z,https://x.com/saenzzang/status/1928622077273129295
윙피포,박지훈  나니가 스키 ㅋㅋㅋㅋㅋㅋㅋ,,0,0,0,0,2025-05-24T05:29:21.000Z,https://x.com/mp4pjh_v/status/1926148492348522707
n,으아아악!!!!!!!!!!!!!!   나니가 스키,,0,0,0,0,2025-05-31T14:09:04.000Z,https://x.com/aganseok/status/1928816000193146997
345,아놔 한참  나니가 스키  커미션 신청받다 가 환웅이 오자마자 간다면서 바이바이~  하더 니 ㄹㅇ로  가 버렸음 진짜 이서호 한결같다,,0,0,0,0,2025-06-04T10:33:11.000Z,https://x.com/486_245/status/1930211220461867343
미믹큐,250531 또토리  나니가 스키  챌린지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,0,0,0,0,2025-05-31T01:17:50.000Z,https://x.com/lovemicyou/status/1928621910897676595
설이명언봇,"왜안해줫어요근데
배쿠짱  나니가 스키  왜안해줫냐고요
다 알면서,",,0,0,0,0,2025-06-03T14:29:38.000Z,https://x.com/Imyourdelight/status/1929908338533502993
·,"하 정아현  나니가 스키  실화인가
너무 좋아 ",,0,0,0,0,2025-06-04T07:04:18.000Z,https://x.com/ahyeonajebal/status/1930158655657390158
잏른 아카이브,나니가 스키 ~¿,,0,0,0,0,2025-06-01T10:08:02.000Z,https://x.com/right_lh/status/1929117728054387147
울산바위 아카이브,250531  #은석 #원빈 나니가 스키 ♡,"#은석,#원빈",0,0,0,0,2025-05-31T14:05:03.000Z,https://x.com/ulsanrockzip/status/1928814987834703952
talk…,앜ㅋㅋ라이즈미팬 나니가 스키 아쉬워서각잡고찍어옴!!!,,0,0,0,0,2025-05-31T14:01:22.000Z,https://x.com/bbini_1/status/1928814059500994758
키키,라이즈  나니가 스키  챌린지다,,0,0,0,0,2025-05-31T14:04:31.000Z,https://x.com/kittyboyda/status/1928814855357866400
16,"이케로  나니가 스키 완성하면 유행끝날것같아서 러프로,,
재미로만 봐주시길ㅎㅎ",,0,0,0,0,2025-06-02T02:13:33.000Z,https://x.com/16_AndLife/status/1929360710925955443
초1,"맨날 듣던  나니가 스키 ~!
이게 아니라 대뜸 한국어로
어떤걸 좋아해 해서 
인지부조화옴",,0,0,0,0,2025-06-04T03:09:27.000Z,https://x.com/Kiich51/status/1930099551148593520
냥덕잉,나니가 스키 #원빈 #은석,"#원빈,#은석",0,0,0,0,2025-05-31T01:19:09.000Z,https://x.com/p1b020302/status/1928622242294018352
·,나니가 스키 를 지금봄 ㅁㅊ,,0,0,0,0,2025-05-31T15:49:42.000Z,https://x.com/songisdol/status/1928841325417263193
볕,ㅁㅊ 라이즈  나니가 스키  릴스로 옴,,0,0,0,0,2025-05-31T14:04:38.000Z,https://x.com/happierthanme_s/status/1928814883493028173
rock..,ㅅㅂ  나니가 스키 때문에깊생하는거진짜웃겨서,,0,0,0,0,2025-05-31T14:31:44.000Z,https://x.com/rock_n_dol/status/1928821704924725611
espacio,인어미닛  나니가 스키  챌린지  #InAMinute #인어미닛 #재준 #준태 #현엽,"#InAMinute,#인어미닛,#재준,#준태,#현엽",0,0,0,0,2025-06-03T14:17:09.000Z,https://x.com/espacio_925/status/1929905195133317319
벼라기,또토리쨩~  나니가 스키,,0,0,0,0,2025-06-01T08:25:29.000Z,https://x.com/qufkr0321/status/1929091919734268005
키티*,"아니진짜어이 가 없네
세즈도 피해갈수없는 루비짱  나니가 스키 근데 세즈 가  진짜로소리질르고 버키도 소리질름ㅠㅠ 꼭보세요..",,0,0,0,0,2025-05-26T15:26:44.000Z,https://x.com/kittyS2soldier/status/1927023604085977292
·,라이즈  나니가 스키  실화야?,,0,0,0,0,2025-05-31T14:06:34.000Z,https://x.com/1b_star/status/1928815370489704898
꾸밍,팬한테  나니가 스키  시키는 아이돌 #더윈드 #TheWind #김희수 #KIMHEESOO,"#더윈드,#TheWind,#김희수,#KIMHEESOO",0,0,0,0,2025-06-04T12:05:19.000Z,https://x.com/l0ving_w/status/1930234407572648395
꼼이,운학이한테 애교 보여달라니까  나니가 스키  자동 재생됨 개귀여워ㅜㅜㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,0,0,0,0,2025-05-24T03:11:31.000Z,https://x.com/woonhakfan/status/1926113806964384067
제로,"나니가 스키 ~?
초코민트 요레모 로저워터스없는핑크플로이드 대길쨩~
                                            하~이!",,0,0,0,0,2025-05-30T11:11:45.000Z,https://x.com/zeropinkfloyd/status/1928408987747152181
·,아  나니가 스키 앤톤 순서 다가오니까 오토케오토케하다 가  아기웃음했다가 부끄러워서 저 큰 몸을 잔뜩 움츠려서 소희한테 계속 기대려고 하는 모든 요소 하나하나 가  다 사랑스러워ㅜㅜ♡,,0,0,0,0,2025-05-31T03:21:38.000Z,https://x.com/shining_movie/status/1928653065286217890
